Participant No.,ID,Status,Date,Start time [hh:mm],Age[y],Age group,Sex,Weather,Season,Data loss [%],Lab light sequence
24,SP024,Included,25/06/2021,15:10,39,35-44,Male,Cloudy,Summer,30.64516129,WBRG
25,SP025,Included,29/06/2021,14:08,25,25-34,Female,Cloudy,Summer,45.67164179,WBGR
26,SP026,Included,30/06/2021,16:01,24,18-24,Female,Light rain,Summer,26.20481928,RGBW
27,SP027,Included,30/06/2021,17:39,24,18-24,Male,Light rain,Summer,25.56818182,RGWB
28,SP028,Included,02/07/2021,11:38,48,45-54,Female,Sunny,Summer,56.70731707,RBGW
29,SP029,Included,02/07/2021,13:10,24,18-24,Female,Sunny,Summer,43.5530086,RBWG
30,SP030,Included,05/07/2021,07:53,18,18-24,Female,Cloudy,Summer,32.58426966,RWGB
31,SP031,Included,08/07/2021,07:50,38,35-44,Male,Light rain,Summer,23.95209581,RWBG
32,SP032,Included,08/07/2021,09:36,22,18-24,Male,Light rain,Summer,41.33738602,GRBW
33,SP033,Included,09/07/2021,12:27,57,55-64,Male,Cloudy,Summer,18.42105263,GRWB
34,SP034,Included,12/07/2021,10:29,51,45-54,Male,Somewhat cloudy,Summer,25.97765363,GBRW
35,SP035,Excluded after trial,14/07/2021,17:12,24,18-24,Male,Very cloudy,Summer,78.24858757,GBWR
36,SP036,Excluded after trial,16/07/2021,08:32,34,25-34,Male,Very cloudy,Summer,100,GWRB
37,SP037,Included,16/07/2021,17:11,36,35-44,Male,Light rain,Summer,50,GWBR
38,SP038,Included,21/07/2021,15:32,18,18-24,Female,Sunny,Summer,34.59302326,BRGW
39,SP039,Included,22/07/2021,13:13,27,25-34,Female,Sunny,Summer,60.81871345,BRWG
40,SP040,Excluded after trial,22/07/2021,15:23,58,55-64,Female,Sunny,Summer,91.66666667,BGRW
41,SP041,Included,28/07/2021,13:29,21,18-24,Male,Somewhat cloudy,Summer,44.88636364,BGWR
42,SP042,Excluded before trial,30/07/2021,11:42,80,>64,Female,NA,Summer,100,NA
43,SP043,Included,04/08/2021,09:48,21,18-24,Male,Very cloudy,Summer,34.9112426,BWRG
44,SP044,Included,04/08/2021,11:30,36,35-44,Male,Very cloudy,Summer,23.7388724,BWGR
45,SP045,Excluded after trial,05/08/2021,10:55,18,18-24,Male,Cloudy,Summer,100,WRGB
46,SP046,Included,12/08/2021,14:31,22,18-24,Male,Sunny,Summer,44.32989691,WRBG
47,SP047,Included,13/08/2021,13:09,20,18-24,Male,Sunny,Summer,64.02439024,WGRB
48,SP048,Included,18/08/2021,16:22,20,18-24,Female,Very cloudy,Summer,35.63829787,WGBR
49,SP049,Included,19/08/2021,13:39,46,45-54,Male,Cloudy,Summer,30.23255814,WBRG
