,Original file,Renamed file,Frame #,diameter_3d,confidence,CIE 1931 x,CIE 1931 y,CIE 1931 Y,SConeIrrad,MConeIrrad,LConeIrrad,RodIrrad,MelIrrad
0,20210629141628.jpg,eye0_17597.jpg,17597,5.478188623075257,1.0,0.34688966447848235,0.3074059752713364,6.602289877355846,5.74684908844327,8.781390990928664,11.022970756199136,8.276496793685318,7.560295847161977
1,20210629141638.jpg,eye0_17647.jpg,17647,5.4830096776616655,1.0,0.3813362173725066,0.3521832047925,3.553539959143893,2.0329989327299547,4.519268319757083,5.8756043024241,3.804273693736884,3.2536265082215645
2,20210629141648.jpg,eye0_17697.jpg,17697,5.484151812233017,1.0,0.3737847693603212,0.3420310157660066,2.8466712083351027,1.793495529194679,3.674369535622888,4.730198502594742,3.2511162740789685,2.848813239519758
3,20210629141658.jpg,eye0_17747.jpg,17747,5.481726252369686,1.0,0.4034565705873095,0.3647076773742462,3.8497143749616316,1.8489714597770135,4.710096354170725,6.381176747484404,3.6505569453730016,3.0347362818116266
4,20210629141708.jpg,eye0_17797.jpg,17797,5.4855408783679245,1.0,0.4105886844991518,0.37009688355657794,4.163237401094866,1.8670700259072002,5.04309235705984,6.904696874765284,3.825297801017509,3.1470942372562813
5,20210629141718.jpg,eye0_17847.jpg,17847,5.506558043762372,0.216944609844426,0.3023381559442847,0.2711576904339097,1.1403779761400399,1.3967828335646388,1.668668205796985,1.9137806315407244,1.8435803782848057,1.783600138529714
6,20210629141728.jpg,eye0_17897.jpg,17897,5.5434261014001525,0.19621372308886734,0.3025686730737469,0.27349968328996344,0.919957227453284,1.1103938283843058,1.345237638381905,1.5405504402904966,1.4704949965224705,1.4175319245594489
7,20210629141738.jpg,eye0_17947.jpg,17947,6.241634362439295,0.9527734235971432,0.30221943636303233,0.2711416942128356,0.9098460116555012,1.1076932647188547,1.331892638358619,1.5270325690360225,1.4668488815733758,1.423748797056286
8,20210629141748.jpg,eye0_17997.jpg,17997,6.1391971609300775,0.3020990326183927,0.3011104884920027,0.266396331265697,0.8360794898204857,1.047596685886159,1.2271907690615256,1.4075556060504375,1.3752952075701097,1.343381157368884
9,20210629141758.jpg,eye0_18047.jpg,18047,6.251479698288323,0.2781098562715318,0.30417318549338324,0.2789004240858025,0.989975880231694,1.1477504183319924,1.445640877573384,1.6531713376448727,1.565521091791168,1.5027652013088528
10,20210629141808.jpg,eye0_18097.jpg,18097,7.127370397901823,0.7377381119641361,0.2985339867143557,0.2704834814526403,0.9563051150361295,1.1907936091149809,1.4009195088248505,1.594930452150666,1.5285311306311946,1.4681711622167488
11,20210629141818.jpg,eye0_18147.jpg,18147,,0.0,0.3037947520648559,0.27012319065926665,0.8831426222232193,1.0762039258245188,1.2970655528760662,1.4902059026845023,1.4538299154993766,1.4235541706187433
12,20210629141828.jpg,eye0_18197.jpg,18197,7.39007196144714,0.8640028705573027,0.30743487021539506,0.27893343368418766,1.0955603868715977,1.2520519573099675,1.598493423669928,1.839661822096902,1.754141929898037,1.695599344794686
13,20210629141838.jpg,eye0_18247.jpg,18247,7.2831207781360945,0.7516173581002209,0.3018403176675251,0.27369477517224994,0.8059600900721903,0.9692344477203403,1.1835300492095981,1.351597812573855,1.2992028555403192,1.2584152044355208
14,20210629141848.jpg,eye0_18297.jpg,18297,7.378304378290691,0.7825810640221826,0.30108309537933176,0.2756947353700769,0.9709376383903345,1.1621570806686965,1.4334250031957638,1.6270455476255659,1.5880430257977678,1.5349082742699034
15,20210629141858.jpg,eye0_18347.jpg,18347,7.470679291055906,0.4001786443177439,0.30597469050308307,0.27798714712292016,0.7501339094576351,0.8698325926713348,1.089234584067182,1.2540247643321698,1.1764209904870087,1.128746537511306
16,20210629141908.jpg,eye0_18397.jpg,18397,7.515082683428904,0.3565884568278241,0.2940010973300194,0.2690009969215864,0.6538745812984333,0.8272951134536407,0.9747097931589735,1.0921705032781337,1.0926014223289138,1.0581125127096256
17,20210629141918.jpg,eye0_18447.jpg,18447,7.360835556026855,0.9964560858209656,0.2993569483182614,0.2805656877573947,0.8527681269848968,0.9830908445628016,1.2717321787500626,1.4265795261029837,1.4172786342197006,1.3678281464704247
18,20210629141928.jpg,eye0_18497.jpg,18497,7.457043416454632,0.2934586233114795,0.31264351814521585,0.2798818448101275,0.951282945640024,1.0819567531246026,1.3603628888101307,1.5934843813910076,1.4483276749444702,1.3845400068511349
19,20210629141938.jpg,eye0_18547.jpg,18547,7.376736211215718,0.9451209595431868,0.2980878267211907,0.2734098013501384,0.8992943282719901,1.0928484868493809,1.330603164183546,1.5032765475233136,1.4632061971342354,1.4216670307451398
20,20210629141948.jpg,eye0_18597.jpg,18597,7.5110720338962285,0.029428412404777168,0.2960294908378871,0.26402259074761336,0.8323671322500088,1.082330857609208,1.2237164266842235,1.3933222024780534,1.3485274324221999,1.3083286961652374
21,20210629141958.jpg,eye0_18647.jpg,18647,,0.0,0.3067548834065146,0.27737250276627146,0.8241469141008068,0.9493134126562719,1.2039297742567012,1.3849465835505308,1.325228650048431,1.2824347445282076
22,20210629142008.jpg,eye0_18697.jpg,18697,7.55203702260189,0.7645584922139544,0.3133107520101039,0.2826704312878274,0.7899412623579181,0.8713879738543455,1.135590961704368,1.3245029681911291,1.220601277493877,1.1732056915060007
23,20210629142018.jpg,eye0_18747.jpg,18747,7.306115163765621,0.9701676570567188,0.2938925106191373,0.2687124432121244,0.6872522433433622,0.8699940948843085,1.018643976098766,1.1461704288932728,1.118540940142757,1.0812303977666775
24,20210629142028.jpg,eye0_18797.jpg,18797,7.647378050429118,0.7716808510002666,0.30900038190641343,0.29245479783639433,0.6732461223859918,0.7150985962257839,0.980797039788905,1.1194125392640966,1.0411046294774016,0.9821258844537147
25,20210629142038.jpg,eye0_18847.jpg,18847,7.571280312210505,0.8871280953383174,0.30456996993329766,0.2753449344451651,0.8087822994843367,0.955114263504234,1.1831579650070172,1.3565673605097708,1.3013553607913495,1.2646002551905595
26,20210629142048.jpg,eye0_18897.jpg,18897,7.379565735479213,0.7771694154311921,0.2971674460826543,0.27470315846148674,0.6756612663338093,0.8167004126967317,1.0053054271151827,1.1290990875988978,1.1178363682637125,1.0821530567934294
27,20210629142058.jpg,eye0_18947.jpg,18947,7.505973499977945,0.22613900985617316,0.2925846881705321,0.2657665446571962,0.8628876485870545,1.1035726714637137,1.289000136528008,1.444998816559901,1.4554725384435183,1.4176110629359922
28,20210629142108.jpg,eye0_18997.jpg,18997,7.5095729607742365,0.9098379296433422,0.2911297902812914,0.2623572079364252,0.7680040664856012,1.019942102215704,1.1475748946144408,1.2865250423649268,1.2959910886346901,1.2650658063158717
29,20210629142118.jpg,eye0_19047.jpg,19047,7.305763598560139,0.9669148175649948,0.2983085732404249,0.2589652879108125,0.7256906106523353,0.965766202099733,1.0700433953513795,1.2283562715559961,1.213389146088072,1.1953272475144021
30,20210629142128.jpg,eye0_19097.jpg,19097,7.402673296327028,0.04094628993578312,0.3163672409977239,0.28052424823257655,0.6250903615021877,0.693081427268764,0.8963894512015235,1.0539982404729247,0.9746187081811161,0.9450952330662159
31,20210629142138.jpg,eye0_19147.jpg,19147,7.6407003406432805,0.015235434670684878,0.2833914162932994,0.2640250950433321,0.5040532624723039,0.6657345494020122,0.7753015774563091,0.8432869378425975,0.9082799020259859,0.8851648748754146
32,20210629142148.jpg,eye0_19197.jpg,19197,7.577255537910446,0.7608546794883547,0.29123649783290156,0.25526896968962354,0.5851615862125792,0.8168932992181892,0.8696412604949187,0.9850728597120564,0.9838590028504575,0.9619943850474751
33,20210629142158.jpg,eye0_19247.jpg,19247,7.517210771122304,0.8912698473729386,0.29060544656037396,0.25581922452192024,0.567087295606018,0.7932587689707071,0.8492550314474026,0.9568571120590329,0.9724415166280916,0.9551683782486595
34,20210629142208.jpg,eye0_19297.jpg,19297,7.608086279266863,0.09433010046349144,0.29935272583757205,0.2657897810177963,0.7002837203678218,0.8972019452217428,1.0315464412494988,1.1784889944042205,1.156592626189333,1.1243511902159287
